fips,county_pop,county_name,state
15009,164351,Maui County,HI
51003,113535,Albemarle County,VA
51005,14835,Alleghany County,VA
51015,78064,Augusta County,VA
51031,55141,Campbell County,VA
51035,29147,Carroll County,VA
51053,28161,Dinwiddie County,VA
51059,1138331,Fairfax County,VA
51069,95051,Frederick County,VA
51081,11226,Greensville County,VA
51089,49906,Henry County,VA
51095,81199,James City County,VA
51121,98915,Montgomery County,VA
51143,59952,Pittsylvania County,VA
51149,43134,Prince George County,VA
51153,486943,Prince William County,VA
51161,96914,Roanoke County,VA
51163,22593,Rockbridge County,VA
51165,85397,Rockingham County,VA
51175,17932,Southampton County,VA
51177,146688,Spotsylvania County,VA
51191,53958,Washington County,VA
51195,35421,Wise County,VA
51199,71341,York County,VA
15005,82,Kalawao City,HI
51540,45373,Charlottesville city,VA
51580,5679,Covington City,VA
51790,25904,Staunton city,VA
51680,79287,Lynchburg city,VA
51640,6730,Galax city,VA
51570,18294,Colonial Heights city,VA
51600,24835,Fairfax city,VA
51840,27936,Winchester city,VA
51595,5481,Emporia City,VA
51690,13725,Martinsville city,VA
51830,15909,Williamsburg city,VA
51750,16738,Radford city,VA
51590,42229,Danville city,VA
51670,22962,Hopewell city,VA
51683,42642,Manassas city,VA
51775,25523,Salem city,VA
51530,6591,Buena Vista City,VA
51660,51158,Harrisonburg city,VA
51620,8247,Franklin City,VA
51630,28757,Fredericksburg city,VA
51520,16975,Bristol city,VA
51720,3609,Norton City,VA
51735,12582,Poquoson City,VA
51820,22808,Waynesboro city,VA
51730,33394,Petersburg city,VA
51610,14586,Falls Church city,VA
51685,16703,Manassas Park city,VA
51678,7457,Lexington City,VA
13125,"2,939",Glascock County,GA
13181,"7,841",Lincoln County,GA
13239,"2,249",Quitman County,GA
13265,"1,600",Taliaferro County,GA
13309,"7,314",Wheeler County,GA
01037,"10,166",Coosa County,AL
08061,"1,424",Kiowa County,CO
17151,"3,770",Pope County,IL
20019,"3,415",Chautauqua County,KS
20049,"2,441",Elk County,KS
21063,"7,293",Elliott County,KY
21165,"6,250",Menifee County,KY
21201,"2,229",Robertson County,KY
28009,"7,550",Benton County,MS
28037,"7,642",Franklin County,MS
28063,"7,087",Jefferson County,MS
30037,835,Golden Valley County,MT
30045,"2,105",Judith Basin County,MT
30069,524,Petroleum County,MT
30079,"1,107",Prairie County,MT
31005,433,Arthur County,NE
31007,660,Banner County,NE
31091,686,Hooker County,NE
31113,675,Logan County,NE
31115,599,Loup County,NE
31117,372,McPherson County,NE
31171,671,Thomas County,NE
31183,785,Wheeler County,NE
35021,628,Harding County,NM
37075,"7,980",Graham County,NC
38065,"1,856",Oliver County,ND
38087,672,Slope County,ND
40129,"3,320",Roger Mills County,OK
46017,"1,861",Buffalo County,SD
46095,"1,892",Mellette County,SD
46137,"2,395",Ziebach County,SD
48261,358,Kenedy County,TX
48351,"12,052",Newton County,TX
48431,"1,417",Sterling County,TX
49031,"1,487",Piute County,UT
51017,"4,049",Bath County,VA
51045,"4,847",Craig County,VA
51159,"9,080",Richmond County,VA
54013,"6,068",Calhoun County,WV
54015,"7,814",Clay County,WV
55078,"4,197",Menominee County,WI